"SYMBOL","Model"
"Tfeb","TFEB_MOUSE.H11MO.0.C"
"Alx1","ALX1_MOUSE.H11MO.0.B"
"Sry","SRY_MOUSE.H11MO.0.B"
"Tead1","TEAD1_MOUSE.H11MO.0.A"
"Tead2","TEAD2_MOUSE.H11MO.0.C"
"Tead3","TEAD3_MOUSE.H11MO.0.D"
"Tead4","TEAD4_MOUSE.H11MO.0.A"
"Tef","TEF_MOUSE.H11MO.0.D"
"Hlf","HLF_MOUSE.H11MO.0.C"
"Nr1d1","NR1D1_MOUSE.H11MO.0.A"
"Nr1d1","NR1D1_MOUSE.H11MO.1.C"
"Tfdp1","TFDP1_MOUSE.H11MO.0.D"
"Zfp322a","ZN322_MOUSE.H11MO.0.B"
"Tgif1","TGIF1_MOUSE.H11MO.0.A"
"Thra","THA_MOUSE.H11MO.0.C"
"Thra","THA_MOUSE.H11MO.1.C"
"Thrb","THB_MOUSE.H11MO.0.D"
"Nkx2-1","NKX21_MOUSE.H11MO.0.A"
"Rarb","RARB_MOUSE.H11MO.0.D"
"Tlx1","TLX1_MOUSE.H11MO.0.D"
"Nr2c1","NR2C1_MOUSE.H11MO.0.C"
"Nr2c2","NR2C2_MOUSE.H11MO.0.A"
"Trp53","P53_MOUSE.H11MO.0.A"
"Trp53","P53_MOUSE.H11MO.1.A"
"Trp63","P63_MOUSE.H11MO.0.B"
"Trp63","P63_MOUSE.H11MO.1.B"
"Trp73","P73_MOUSE.H11MO.0.B"
"Trp73","P73_MOUSE.H11MO.1.B"
"Twist1","TWST1_MOUSE.H11MO.0.B"
"Twist1","TWST1_MOUSE.H11MO.1.B"
"Ubp1","UBIP1_MOUSE.H11MO.0.D"
"Nr1h3","NR1H3_MOUSE.H11MO.0.A"
"Nr1h3","NR1H3_MOUSE.H11MO.1.A"
"Nr1h3","NR1H3_MOUSE.H11MO.2.A"
"Nr1h2","NR1H2_MOUSE.H11MO.0.D"
"Usf1","USF1_MOUSE.H11MO.0.A"
"Usf2","USF2_MOUSE.H11MO.0.A"
"Vdr","VDR_MOUSE.H11MO.0.A"
"Vdr","VDR_MOUSE.H11MO.1.A"
"Atf7","ATF7_MOUSE.H11MO.0.D"
"Wt1","WT1_MOUSE.H11MO.0.B"
"Wt1","WT1_MOUSE.H11MO.1.A"
"Xbp1","XBP1_MOUSE.H11MO.0.C"
"Onecut2","ONEC2_MOUSE.H11MO.0.D"
"Glis3","GLIS3_MOUSE.H11MO.0.D"
"Yy1","TYY1_MOUSE.H11MO.0.A"
"Zbtb17","ZBT17_MOUSE.H11MO.0.A"
"Zfp281","ZN281_MOUSE.H11MO.0.A"
"Zfp148","ZN148_MOUSE.H11MO.0.D"
"Tfap2d","AP2D_MOUSE.H11MO.0.D"
"Zfp42","ZFP42_MOUSE.H11MO.0.A"
"Zfp57","ZFP57_MOUSE.H11MO.0.B"
"Zfx","ZFX_MOUSE.H11MO.0.B"
"Zfx","ZFX_MOUSE.H11MO.1.B"
"Zic1","ZIC1_MOUSE.H11MO.0.B"
"Zic2","ZIC2_MOUSE.H11MO.0.C"
"Zic3","ZIC3_MOUSE.H11MO.0.A"
"Ikzf1","IKZF1_MOUSE.H11MO.0.C"
"Foxj3","FOXJ3_MOUSE.H11MO.0.A"
"Foxj3","FOXJ3_MOUSE.H11MO.1.B"
"Klf6","KLF6_MOUSE.H11MO.0.B"
"Ets1","ETS1_MOUSE.H11MO.0.A"
"Ets2","ETS2_MOUSE.H11MO.0.A"
"Nr2e3","NR2E3_MOUSE.H11MO.0.C"
"Zbtb6","ZBTB6_MOUSE.H11MO.0.D"
"E2f2","E2F2_MOUSE.H11MO.0.B"
"Klf8","KLF8_MOUSE.H11MO.0.C"
"Grhl2","GRHL2_MOUSE.H11MO.0.A"
"Fev","FEV_MOUSE.H11MO.0.B"
"Esrra","ERR1_MOUSE.H11MO.0.A"
"Esrrb","ERR2_MOUSE.H11MO.0.A"
"Esrrg","ERR3_MOUSE.H11MO.0.C"
"Nr5a1","STF1_MOUSE.H11MO.0.B"
"Nr5a2","NR5A2_MOUSE.H11MO.0.A"
"Foxl2","FOXL2_MOUSE.H11MO.0.C"
"Irf5","IRF5_MOUSE.H11MO.0.D"
"Taf1","TAF1_MOUSE.H11MO.0.A"
"Spib","SPIB_MOUSE.H11MO.0.A"
"Zbtb18","ZBT18_MOUSE.H11MO.0.D"
"Hnf4g","HNF4G_MOUSE.H11MO.0.C"
"Rfx6","RFX6_MOUSE.H11MO.0.C"
"Rfx6","RFX6_MOUSE.H11MO.1.C"
"Zfp335","ZN335_MOUSE.H11MO.0.A"
"Zfp335","ZN335_MOUSE.H11MO.1.A"
"Nr1d2","NR1D2_MOUSE.H11MO.0.A"
"Mafa","MAFA_MOUSE.H11MO.0.D"
"Batf3","BATF3_MOUSE.H11MO.0.A"
"Prdm14","PRD14_MOUSE.H11MO.0.A"
"E2f6","E2F6_MOUSE.H11MO.0.A"
"Dmrt1","DMRT1_MOUSE.H11MO.0.C"
"Olig2","OLIG2_MOUSE.H11MO.0.A"
"Olig2","OLIG2_MOUSE.H11MO.1.A"
"Fubp1","FUBP1_MOUSE.H11MO.0.D"
"E2f7","E2F7_MOUSE.H11MO.0.C"
"Batf","BATF_MOUSE.H11MO.0.A"
"Batf","BATF_MOUSE.H11MO.1.A"
"Insm1","INSM1_MOUSE.H11MO.0.C"
"Irf7","IRF7_MOUSE.H11MO.0.C"
"Irf3","IRF3_MOUSE.H11MO.0.A"
"Nfat5","NFAT5_MOUSE.H11MO.0.D"
"Foxo4","FOXO4_MOUSE.H11MO.0.C"
"Msgn1","MSGN1_MOUSE.H11MO.0.C"
"Dmrtb1","DMRTB_MOUSE.H11MO.0.C"
"Foxo1","FOXO1_MOUSE.H11MO.0.A"
"Foxo3","FOXO3_MOUSE.H11MO.0.B"
"Plag1","PLAG1_MOUSE.H11MO.0.D"
